  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  5.1228E-04  1.7028E-03  1.7901E-02
 81  5.1003E-04  1.6953E-03  3.4427E-02
 82  7.1186E-04  2.3661E-03  2.3577E+01
 83  6.9865E-04  2.3222E-03  3.0729E+01
 84  6.9273E-04  2.3025E-03  3.8390E+01
 85  6.8866E-04  2.2890E-03  4.7526E+01
 86  6.8661E-04  2.2822E-03  5.8163E+01
 87  6.8536E-04  2.2781E-03  7.0587E+01
 88  6.8403E-04  2.2736E-03  8.5048E+01
 89  6.8135E-04  2.2647E-03  1.0198E+02
 90  6.7638E-04  2.2482E-03  1.2178E+02
 91  6.6961E-04  2.2257E-03  1.4403E+02
 92  6.6085E-04  2.1966E-03  1.6827E+02
 93  6.4916E-04  2.1577E-03  1.9451E+02
 94  6.3367E-04  2.1063E-03  2.2289E+02
 95  6.1337E-04  2.0388E-03  2.5424E+02
 96  5.8692E-04  1.9508E-03  2.8716E+02
 97  5.8535E-04  1.9456E-03  2.5265E+02
 98  5.8832E-04  1.9555E-03  1.8328E+02
 99  5.8993E-04  1.9609E-03  6.0504E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  5.2072E-04  1.7308E-03  1.6022E-02
 81  5.1909E-04  1.7254E-03  3.4241E-02
 82  7.1463E-04  2.3753E-03  2.2601E+01
 83  7.0078E-04  2.3293E-03  2.9558E+01
 84  6.9457E-04  2.3087E-03  3.6973E+01
 85  6.9020E-04  2.2941E-03  4.5836E+01
 86  6.8783E-04  2.2863E-03  5.6185E+01
 87  6.8637E-04  2.2814E-03  6.8270E+01
 88  6.8487E-04  2.2764E-03  8.2349E+01
 89  6.8212E-04  2.2673E-03  9.8825E+01
 90  6.7708E-04  2.2505E-03  1.1813E+02
 91  6.7017E-04  2.2276E-03  1.3990E+02
 92  6.6132E-04  2.1981E-03  1.6366E+02
 93  6.4958E-04  2.1591E-03  1.8943E+02
 94  6.3410E-04  2.1077E-03  2.1739E+02
 95  6.1382E-04  2.0403E-03  2.4845E+02
 96  5.8742E-04  1.9525E-03  2.8145E+02
 97  5.8586E-04  1.9473E-03  2.4928E+02
 98  5.8880E-04  1.9571E-03  1.8001E+02
 99  5.9023E-04  1.9619E-03  6.0563E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  5.2745E-04  1.7532E-03  1.4651E-02
 81  5.2561E-04  1.7471E-03  3.4189E-02
 82  7.1676E-04  2.3824E-03  2.1879E+01
 83  7.0242E-04  2.3348E-03  2.8687E+01
 84  6.9600E-04  2.3134E-03  3.5916E+01
 85  6.9141E-04  2.2982E-03  4.4572E+01
 86  6.8881E-04  2.2895E-03  5.4701E+01
 87  6.8718E-04  2.2841E-03  6.6531E+01
 88  6.8555E-04  2.2787E-03  8.0321E+01
 89  6.8272E-04  2.2693E-03  9.6462E+01
 90  6.7762E-04  2.2523E-03  1.1538E+02
 91  6.7061E-04  2.2290E-03  1.3678E+02
 92  6.6168E-04  2.1994E-03  1.6019E+02
 93  6.4991E-04  2.1602E-03  1.8560E+02
 94  6.3445E-04  2.1088E-03  2.1320E+02
 95  6.1417E-04  2.0414E-03  2.4401E+02
 96  5.8783E-04  1.9539E-03  2.7701E+02
 97  5.8627E-04  1.9487E-03  2.4650E+02
 98  5.8918E-04  1.9584E-03  1.7730E+02
 99  5.9052E-04  1.9628E-03  6.0238E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  5.3242E-04  1.7697E-03  1.3615E-02
 81  5.3049E-04  1.7633E-03  3.4093E-02
 82  7.1839E-04  2.3878E-03  2.1344E+01
 83  7.0370E-04  2.3390E-03  2.8040E+01
 84  6.9712E-04  2.3171E-03  3.5130E+01
 85  6.9237E-04  2.3014E-03  4.3629E+01
 86  6.8958E-04  2.2921E-03  5.3592E+01
 87  6.8778E-04  2.2861E-03  6.5243E+01
 88  6.8607E-04  2.2804E-03  7.8810E+01
 89  6.8316E-04  2.2708E-03  9.4708E+01
 90  6.7804E-04  2.2537E-03  1.1334E+02
 91  6.7097E-04  2.2302E-03  1.3445E+02
 92  6.6198E-04  2.2003E-03  1.5758E+02
 93  6.5018E-04  2.1611E-03  1.8271E+02
 94  6.3471E-04  2.1097E-03  2.1005E+02
 95  6.1446E-04  2.0424E-03  2.4065E+02
 96  5.8815E-04  1.9549E-03  2.7360E+02
 97  5.8659E-04  1.9498E-03  2.4428E+02
 98  5.8948E-04  1.9594E-03  1.7512E+02
 99  5.9076E-04  1.9636E-03  5.9786E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  5.3625E-04  1.7824E-03  1.2729E-02
 81  5.3425E-04  1.7758E-03  3.3924E-02
 82  7.1965E-04  2.3920E-03  2.0945E+01
 83  7.0469E-04  2.3423E-03  2.7555E+01
 84  6.9799E-04  2.3200E-03  3.4540E+01
 85  6.9313E-04  2.3039E-03  4.2920E+01
 86  6.9020E-04  2.2941E-03  5.2757E+01
 87  6.8826E-04  2.2877E-03  6.4271E+01
 88  6.8650E-04  2.2819E-03  7.7669E+01
 89  6.8353E-04  2.2720E-03  9.3383E+01
 90  6.7838E-04  2.2549E-03  1.1179E+02
 91  6.7126E-04  2.2312E-03  1.3269E+02
 92  6.6222E-04  2.2011E-03  1.5561E+02
 93  6.5040E-04  2.1618E-03  1.8053E+02
 94  6.3492E-04  2.1104E-03  2.0767E+02
 95  6.1467E-04  2.0431E-03  2.3810E+02
 96  5.8839E-04  1.9557E-03  2.7099E+02
 97  5.8684E-04  1.9506E-03  2.4254E+02
 98  5.8971E-04  1.9601E-03  1.7342E+02
 99  5.9094E-04  1.9642E-03  5.9331E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
