 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 99   2.977E-06   5.226E-06
100   2.760E-06   3.993E-06
101   2.685E-08   7.457E-08
 NST=     9

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.922E-03   1.763E-03
  3   1.572E-03   1.738E-03
  4   1.265E-03   3.211E-03
  5   1.000E-03   3.898E-04
  6   7.771E-04   1.793E-03
  7   5.874E-04   8.162E-04
  8   4.276E-04   6.488E-04
  9   2.974E-04   4.565E-04
 10   1.966E-04   3.961E-04
 11   1.237E-04   3.377E-04
 12   7.536E-05   2.881E-04
 13   4.624E-05   2.543E-04
 14   3.062E-05   2.284E-04
 15   2.327E-05   1.976E-04
 16   2.020E-05   1.729E-04
 17   1.891E-05   1.451E-04
 18   1.818E-05   1.182E-04
 19   1.754E-05   9.274E-05
 20   1.685E-05   7.081E-05
 21   1.611E-05   5.334E-05
 22   1.533E-05   4.106E-05
 23   1.457E-05   3.340E-05
 24   1.393E-05   2.930E-05
 25   1.333E-05   2.748E-05
 26   1.278E-05   2.687E-05
 27   1.230E-05   2.683E-05
 28   1.189E-05   2.704E-05
 29   1.156E-05   2.737E-05
 30   1.131E-05   2.777E-05
 31   1.113E-05   2.820E-05
 32   1.103E-05   2.858E-05
 33   1.098E-05   2.886E-05
 34   1.096E-05   2.894E-05
 35   1.096E-05   2.872E-05
 36   1.107E-05   2.826E-05
 37   1.108E-05   2.737E-05
 38   1.098E-05   2.614E-05
 39   1.081E-05   2.474E-05
 40   1.063E-05   2.343E-05
 41   1.052E-05   2.237E-05
 42   1.051E-05   2.160E-05
 43   1.057E-05   2.098E-05
 44   1.062E-05   2.043E-05
 45   1.061E-05   1.996E-05
 46   1.051E-05   1.967E-05
 47   1.032E-05   1.962E-05
 48   1.002E-05   1.978E-05
 49   9.599E-06   1.997E-05
 50   9.008E-06   1.970E-05
 51   8.260E-06   1.928E-05
 52   7.417E-06   1.864E-05
 53   6.585E-06   1.779E-05
 54   5.870E-06   1.683E-05
 55   5.334E-06   1.586E-05
 56   4.970E-06   1.501E-05
 57   4.715E-06   1.432E-05
 58   4.483E-06   1.377E-05
 59   4.208E-06   1.331E-05
 60   3.863E-06   1.287E-05
 61   3.455E-06   1.240E-05
 62   3.015E-06   1.186E-05
 63   2.587E-06   1.121E-05
 64   2.209E-06   1.044E-05
 65   1.908E-06   9.589E-06
 66   1.678E-06   8.685E-06
 67   1.494E-06   7.737E-06
 68   1.367E-06   6.999E-06
 69   1.276E-06   6.451E-06
 70   1.207E-06   6.041E-06
 71   1.154E-06   5.703E-06
 72   1.112E-06   5.386E-06
 73   1.080E-06   5.064E-06
 74   1.053E-06   4.731E-06
 75   1.028E-06   4.396E-06
 76   1.003E-06   4.070E-06
 77   9.770E-07   3.762E-06
 78   9.491E-07   3.473E-06
 79   9.205E-07   3.199E-06
 80   8.928E-07   2.928E-06
 81   4.933E-07   2.160E-06
 82   5.029E-07   2.257E-06
 83   1.649E-05   1.104E-04
 84   3.029E-06   8.938E-07
 85   1.310E-06   2.210E-06
 86   1.615E-06   4.007E-06
 87   1.898E-06   5.836E-06
 88   2.232E-06   7.240E-06
 89   2.347E-06   8.074E-06
 90   2.742E-06   8.521E-06
 91   3.186E-06   8.584E-06
 92   3.338E-06   8.605E-06
 93   3.308E-06   8.678E-06
 94   3.362E-06   8.565E-06
 95   3.416E-06   8.230E-06
 96   3.376E-06   7.535E-06
 97   3.269E-06   6.614E-06
 98   3.137E-06   5.915E-06
 99   2.977E-06   5.209E-06
100   2.764E-06   3.973E-06
101   2.686E-08   7.399E-08
 NST=    10

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.923E-03   2.799E-03
  3   1.571E-03   2.651E-03
  4   1.263E-03   3.096E-03
  5   1.001E-03   2.919E-03
  6   7.776E-04   1.037E-03
  7   5.875E-04   6.315E-04
  8   4.277E-04   5.234E-04
  9   2.974E-04   4.720E-04
 10   1.966E-04   3.979E-04
 11   1.238E-04   3.333E-04
 12   7.537E-05   2.922E-04
 13   4.624E-05   2.560E-04
 14   3.062E-05   2.239E-04
 15   2.327E-05   1.973E-04
 16   2.019E-05   1.706E-04
 17   1.891E-05   1.442E-04
 18   1.818E-05   1.173E-04
 19   1.753E-05   9.259E-05
 20   1.685E-05   7.065E-05
 21   1.611E-05   5.342E-05
 22   1.532E-05   4.117E-05
 23   1.457E-05   3.352E-05
 24   1.393E-05   2.939E-05
 25   1.333E-05   2.752E-05
 26   1.278E-05   2.689E-05
 27   1.230E-05   2.683E-05
 28   1.189E-05   2.703E-05
 29   1.156E-05   2.736E-05
 30   1.131E-05   2.776E-05
 31   1.113E-05   2.818E-05
 32   1.103E-05   2.857E-05
 33   1.098E-05   2.885E-05
 34   1.096E-05   2.892E-05
 35   1.096E-05   2.871E-05
 36   1.107E-05   2.825E-05
 37   1.108E-05   2.736E-05
 38   1.098E-05   2.613E-05
 39   1.081E-05   2.473E-05
 40   1.063E-05   2.342E-05
 41   1.052E-05   2.237E-05
 42   1.051E-05   2.159E-05
 43   1.057E-05   2.098E-05
 44   1.062E-05   2.043E-05
 45   1.061E-05   1.996E-05
 46   1.051E-05   1.967E-05
 47   1.032E-05   1.962E-05
 48   1.002E-05   1.977E-05
 49   9.599E-06   1.997E-05
 50   9.007E-06   1.970E-05
 51   8.260E-06   1.927E-05
 52   7.417E-06   1.863E-05
 53   6.585E-06   1.779E-05
 54   5.870E-06   1.682E-05
 55   5.334E-06   1.586E-05
 56   4.970E-06   1.500E-05
 57   4.715E-06   1.431E-05
 58   4.483E-06   1.377E-05
 59   4.208E-06   1.330E-05
 60   3.863E-06   1.286E-05
 61   3.455E-06   1.239E-05
 62   3.015E-06   1.186E-05
 63   2.587E-06   1.121E-05
 64   2.209E-06   1.044E-05
 65   1.908E-06   9.588E-06
 66   1.678E-06   8.685E-06
 67   1.494E-06   7.736E-06
 68   1.367E-06   6.998E-06
 69   1.276E-06   6.452E-06
 70   1.207E-06   6.041E-06
 71   1.154E-06   5.704E-06
 72   1.112E-06   5.387E-06
 73   1.080E-06   5.065E-06
 74   1.053E-06   4.733E-06
 75   1.028E-06   4.398E-06
 76   1.003E-06   4.072E-06
 77   9.770E-07   3.765E-06
 78   9.490E-07   3.477E-06
 79   9.204E-07   3.207E-06
 80   8.928E-07   2.943E-06
 81   4.925E-07   2.166E-06
 82   5.036E-07   2.282E-06
 83   1.641E-05   1.102E-04
 84   3.064E-06   9.816E-07
 85   1.310E-06   2.162E-06
 86   1.596E-06   3.946E-06
 87   1.886E-06   5.777E-06
 88   2.229E-06   7.194E-06
 89   2.332E-06   8.038E-06
 90   2.729E-06   8.497E-06
 91   3.165E-06   8.567E-06
 92   3.332E-06   8.584E-06
 93   3.299E-06   8.656E-06
 94   3.350E-06   8.550E-06
 95   3.404E-06   8.221E-06
 96   3.370E-06   7.537E-06
 97   3.254E-06   6.622E-06
 98   3.138E-06   5.917E-06
 99   2.975E-06   5.195E-06
100   2.767E-06   3.957E-06
101   2.687E-08   7.356E-08
 NST=    11

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.922E-03   1.723E-03
  3   1.569E-03   9.223E-04
  4   1.262E-03   1.421E-03
  5   9.999E-04   1.374E-03
  6   7.782E-04   9.848E-04
  7   5.883E-04   9.118E-04
  8   4.281E-04   5.778E-04
  9   2.976E-04   4.982E-04
 10   1.967E-04   4.001E-04
 11   1.238E-04   3.359E-04
 12   7.540E-05   2.888E-04
 13   4.626E-05   2.559E-04
 14   3.063E-05   2.249E-04
 15   2.326E-05   1.959E-04
 16   2.019E-05   1.703E-04
 17   1.890E-05   1.437E-04
 18   1.817E-05   1.172E-04
 19   1.753E-05   9.240E-05
 20   1.684E-05   7.073E-05
 21   1.610E-05   5.364E-05
 22   1.532E-05   4.139E-05
 23   1.456E-05   3.369E-05
 24   1.393E-05   2.949E-05
 25   1.333E-05   2.757E-05
 26   1.278E-05   2.690E-05
 27   1.230E-05   2.682E-05
 28   1.189E-05   2.702E-05
 29   1.155E-05   2.735E-05
 30   1.130E-05   2.774E-05
 31   1.113E-05   2.817E-05
 32   1.103E-05   2.855E-05
 33   1.098E-05   2.883E-05
 34   1.096E-05   2.890E-05
 35   1.096E-05   2.869E-05
 36   1.107E-05   2.823E-05
 37   1.108E-05   2.735E-05
 38   1.098E-05   2.611E-05
 39   1.081E-05   2.472E-05
 40   1.063E-05   2.341E-05
 41   1.052E-05   2.236E-05
 42   1.051E-05   2.158E-05
 43   1.057E-05   2.097E-05
 44   1.062E-05   2.042E-05
 45   1.061E-05   1.995E-05
 46   1.051E-05   1.966E-05
 47   1.032E-05   1.961E-05
 48   1.002E-05   1.976E-05
 49   9.597E-06   1.996E-05
 50   9.005E-06   1.969E-05
 51   8.258E-06   1.926E-05
 52   7.415E-06   1.862E-05
 53   6.582E-06   1.778E-05
 54   5.867E-06   1.681E-05
 55   5.331E-06   1.585E-05
 56   4.968E-06   1.499E-05
 57   4.712E-06   1.430E-05
 58   4.480E-06   1.375E-05
 59   4.205E-06   1.329E-05
 60   3.860E-06   1.285E-05
 61   3.452E-06   1.238E-05
 62   3.012E-06   1.184E-05
 63   2.583E-06   1.119E-05
 64   2.206E-06   1.042E-05
 65   1.904E-06   9.571E-06
 66   1.674E-06   8.666E-06
 67   1.490E-06   7.716E-06
 68   1.363E-06   6.977E-06
 69   1.272E-06   6.428E-06
 70   1.203E-06   6.016E-06
 71   1.149E-06   5.676E-06
 72   1.107E-06   5.356E-06
 73   1.074E-06   5.031E-06
 74   1.047E-06   4.694E-06
 75   1.022E-06   4.353E-06
 76   9.965E-07   4.021E-06
 77   9.696E-07   3.705E-06
 78   9.410E-07   3.407E-06
 79   9.116E-07   3.122E-06
 80   8.829E-07   2.835E-06
 81   8.567E-07   2.492E-06
 82   4.529E-07   1.405E-06
 83   8.094E-07   1.787E-06
 84   1.605E-05   1.065E-04
 85   2.559E-06   1.714E-06
 86   1.838E-06   3.820E-06
 87   2.004E-06   5.673E-06
 88   2.316E-06   7.120E-06
 89   2.368E-06   7.989E-06
 90   2.748E-06   8.468E-06
 91   3.173E-06   8.550E-06
 92   3.345E-06   8.566E-06
 93   3.297E-06   8.639E-06
 94   3.344E-06   8.539E-06
 95   3.397E-06   8.215E-06
 96   3.368E-06   7.540E-06
 97   3.243E-06   6.630E-06
 98   3.142E-06   5.920E-06
 99   2.974E-06   5.184E-06
100   2.769E-06   3.946E-06
101   2.689E-08   7.325E-08
 NST=    12

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.922E-03   3.235E-03
  3   1.569E-03   1.634E-03
  4   1.262E-03   1.964E-03
  5   9.998E-04   2.489E-04
  6   7.781E-04   8.535E-04
  7   5.882E-04   9.218E-04
  8   4.281E-04   5.218E-04
  9   2.976E-04   4.871E-04
 10   1.967E-04   3.936E-04
 11   1.238E-04   3.353E-04
 12   7.541E-05   2.878E-04
 13   4.627E-05   2.527E-04
 14   3.063E-05   2.209E-04
 15   2.326E-05   1.929E-04
 16   2.018E-05   1.668E-04
 17   1.889E-05   1.422E-04
 18   1.816E-05   1.163E-04
 19   1.752E-05   9.187E-05
 20   1.684E-05   7.069E-05
 21   1.610E-05   5.374E-05
 22   1.532E-05   4.158E-05
 23   1.457E-05   3.385E-05
 24   1.393E-05   2.959E-05
 25   1.333E-05   2.762E-05
 26   1.278E-05   2.692E-05
 27   1.230E-05   2.682E-05
 28   1.189E-05   2.701E-05
 29   1.156E-05   2.733E-05
 30   1.131E-05   2.773E-05
 31   1.113E-05   2.815E-05
 32   1.103E-05   2.853E-05
 33   1.098E-05   2.881E-05
 34   1.096E-05   2.888E-05
 35   1.096E-05   2.867E-05
 36   1.107E-05   2.821E-05
 37   1.108E-05   2.733E-05
 38   1.098E-05   2.610E-05
 39   1.081E-05   2.470E-05
 40   1.063E-05   2.340E-05
 41   1.052E-05   2.235E-05
 42   1.051E-05   2.158E-05
 43   1.057E-05   2.096E-05
 44   1.062E-05   2.042E-05
 45   1.061E-05   1.994E-05
 46   1.051E-05   1.965E-05
 47   1.032E-05   1.961E-05
 48   1.002E-05   1.976E-05
 49   9.600E-06   1.995E-05
 50   9.008E-06   1.968E-05
 51   8.261E-06   1.926E-05
 52   7.418E-06   1.862E-05
 53   6.586E-06   1.777E-05
 54   5.871E-06   1.681E-05
 55   5.335E-06   1.584E-05
 56   4.972E-06   1.499E-05
 57   4.716E-06   1.430E-05
 58   4.484E-06   1.376E-05
 59   4.210E-06   1.329E-05
 60   3.865E-06   1.285E-05
 61   3.457E-06   1.238E-05
 62   3.018E-06   1.185E-05
 63   2.590E-06   1.120E-05
 64   2.213E-06   1.043E-05
 65   1.911E-06   9.583E-06
 66   1.682E-06   8.680E-06
 67   1.498E-06   7.733E-06
 68   1.371E-06   6.995E-06
 69   1.280E-06   6.449E-06
 70   1.212E-06   6.040E-06
 71   1.159E-06   5.702E-06
 72   1.117E-06   5.386E-06
 73   1.085E-06   5.064E-06
 74   1.059E-06   4.731E-06
 75   1.035E-06   4.396E-06
 76   1.010E-06   4.069E-06
 77   9.847E-07   3.760E-06
 78   9.574E-07   3.472E-06
 79   9.296E-07   3.201E-06
 80   9.029E-07   2.928E-06
 81   4.914E-07   2.116E-06
 82   4.959E-07   2.181E-06
 83   1.648E-05   1.113E-04
 84   2.431E-06   1.037E-06
 85   1.161E-06   1.513E-06
 86   1.466E-06   3.709E-06
 87   1.787E-06   5.562E-06
 88   2.175E-06   7.032E-06
 89   2.284E-06   7.920E-06
 90   2.669E-06   8.422E-06
 91   3.089E-06   8.518E-06
 92   3.311E-06   8.528E-06
 93   3.271E-06   8.599E-06
 94   3.319E-06   8.511E-06
 95   3.364E-06   8.198E-06
 96   3.356E-06   7.544E-06
 97   3.205E-06   6.646E-06
 98   3.146E-06   5.923E-06
 99   2.966E-06   5.145E-06
100   2.775E-06   3.922E-06
101   2.688E-08   7.248E-08
 NST=    13

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.918E-03   2.231E-03
  3   1.568E-03   1.192E-03
  4   1.262E-03   2.102E-03
  5   1.001E-03   1.275E-03
  6   7.786E-04   1.687E-04
  7   5.882E-04   7.419E-04
  8   4.281E-04   5.875E-04
  9   2.977E-04   4.609E-04
 10   1.967E-04   4.011E-04
 11   1.239E-04   3.325E-04
 12   7.544E-05   2.816E-04
 13   4.628E-05   2.448E-04
 14   3.063E-05   2.179E-04
 15   2.326E-05   1.900E-04
 16   2.017E-05   1.663E-04
 17   1.888E-05   1.403E-04
 18   1.815E-05   1.156E-04
 19   1.751E-05   9.187E-05
 20   1.683E-05   7.089E-05
 21   1.610E-05   5.408E-05
 22   1.532E-05   4.189E-05
 23   1.456E-05   3.408E-05
 24   1.393E-05   2.972E-05
 25   1.333E-05   2.768E-05
 26   1.278E-05   2.693E-05
 27   1.230E-05   2.681E-05
 28   1.189E-05   2.699E-05
 29   1.155E-05   2.731E-05
 30   1.130E-05   2.770E-05
 31   1.113E-05   2.812E-05
 32   1.103E-05   2.850E-05
 33   1.098E-05   2.878E-05
 34   1.096E-05   2.885E-05
 35   1.096E-05   2.864E-05
 36   1.107E-05   2.818E-05
 37   1.108E-05   2.730E-05
 38   1.098E-05   2.607E-05
 39   1.081E-05   2.468E-05
 40   1.063E-05   2.338E-05
 41   1.052E-05   2.233E-05
 42   1.051E-05   2.156E-05
 43   1.057E-05   2.095E-05
 44   1.062E-05   2.041E-05
 45   1.061E-05   1.994E-05
 46   1.051E-05   1.964E-05
 47   1.032E-05   1.960E-05
 48   1.002E-05   1.975E-05
 49   9.598E-06   1.994E-05
 50   9.007E-06   1.967E-05
 51   8.259E-06   1.925E-05
 52   7.416E-06   1.860E-05
 53   6.584E-06   1.776E-05
 54   5.869E-06   1.680E-05
 55   5.333E-06   1.583E-05
 56   4.970E-06   1.498E-05
 57   4.714E-06   1.429E-05
 58   4.482E-06   1.375E-05
 59   4.208E-06   1.329E-05
 60   3.863E-06   1.284E-05
 61   3.455E-06   1.238E-05
 62   3.015E-06   1.184E-05
 63   2.587E-06   1.119E-05
 64   2.210E-06   1.042E-05
 65   1.908E-06   9.577E-06
 66   1.678E-06   8.675E-06
 67   1.494E-06   7.728E-06
 68   1.367E-06   6.992E-06
 69   1.276E-06   6.446E-06
 70   1.207E-06   6.036E-06
 71   1.154E-06   5.699E-06
 72   1.112E-06   5.382E-06
 73   1.079E-06   5.060E-06
 74   1.052E-06   4.727E-06
 75   1.028E-06   4.391E-06
 76   1.003E-06   4.063E-06
 77   9.768E-07   3.754E-06
 78   9.488E-07   3.465E-06
 79   9.202E-07   3.192E-06
 80   8.925E-07   2.915E-06
 81   4.877E-07   2.073E-06
 82   4.897E-07   2.128E-06
 83   1.622E-05   1.118E-04
 84   3.214E-06   6.717E-07
 85   1.298E-06   1.476E-06
 86   1.518E-06   3.670E-06
 87   1.831E-06   5.525E-06
 88   2.221E-06   7.003E-06
 89   2.301E-06   7.897E-06
 90   2.676E-06   8.406E-06
 91   3.087E-06   8.509E-06
 92   3.318E-06   8.517E-06
 93   3.269E-06   8.586E-06
 94   3.314E-06   8.503E-06
 95   3.354E-06   8.194E-06
 96   3.356E-06   7.546E-06
 97   3.198E-06   6.652E-06
 98   3.146E-06   5.926E-06
 99   2.965E-06   5.135E-06
100   2.776E-06   3.914E-06
101   2.689E-08   7.224E-08
 NST=    14

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.917E-03   1.658E-03
  3   1.567E-03   1.164E-03
  4   1.261E-03   2.975E-03
  5   1.001E-03   1.048E-03
  6   7.794E-04   8.946E-04
  7   5.888E-04   3.942E-04
  8   4.279E-04   5.926E-04
  9   2.976E-04   4.561E-04
 10   1.967E-04   3.704E-04
 11   1.239E-04   3.181E-04
 12   7.546E-05   2.727E-04
 13   4.630E-05   2.399E-04
 14   3.064E-05   2.106E-04
 15   2.325E-05   1.841E-04
 16   2.016E-05   1.609E-04
 17   1.887E-05   1.378E-04
 18   1.814E-05   1.144E-04
 19   1.750E-05   9.162E-05
 20   1.683E-05   7.127E-05
 21   1.609E-05   5.465E-05
 22   1.531E-05   4.240E-05
 23   1.456E-05   3.443E-05
 24   1.392E-05   2.991E-05
 25   1.332E-05   2.775E-05
 26   1.278E-05   2.694E-05
 27   1.230E-05   2.679E-05
 28   1.189E-05   2.696E-05
 29   1.155E-05   2.727E-05
 30   1.130E-05   2.766E-05
 31   1.113E-05   2.807E-05
 32   1.103E-05   2.845E-05
 33   1.098E-05   2.873E-05
 34   1.096E-05   2.880E-05
 35   1.096E-05   2.859E-05
 36   1.107E-05   2.814E-05
 37   1.108E-05   2.726E-05
 38   1.098E-05   2.604E-05
 39   1.081E-05   2.466E-05
 40   1.063E-05   2.335E-05
 41   1.052E-05   2.231E-05
 42   1.051E-05   2.155E-05
 43   1.057E-05   2.094E-05
 44   1.062E-05   2.039E-05
 45   1.061E-05   1.992E-05
 46   1.051E-05   1.963E-05
 47   1.032E-05   1.958E-05
 48   1.002E-05   1.973E-05
 49   9.598E-06   1.992E-05
 50   9.006E-06   1.965E-05
 51   8.259E-06   1.923E-05
 52   7.416E-06   1.858E-05
 53   6.583E-06   1.774E-05
 54   5.868E-06   1.678E-05
 55   5.333E-06   1.582E-05
 56   4.969E-06   1.497E-05
 57   4.714E-06   1.428E-05
 58   4.482E-06   1.373E-05
 59   4.208E-06   1.327E-05
 60   3.863E-06   1.283E-05
 61   3.455E-06   1.237E-05
 62   3.015E-06   1.183E-05
 63   2.587E-06   1.118E-05
 64   2.210E-06   1.042E-05
 65   1.908E-06   9.570E-06
 66   1.678E-06   8.670E-06
 67   1.494E-06   7.724E-06
 68   1.367E-06   6.988E-06
 69   1.276E-06   6.443E-06
 70   1.207E-06   6.033E-06
 71   1.154E-06   5.696E-06
 72   1.112E-06   5.380E-06
 73   1.079E-06   5.058E-06
 74   1.052E-06   4.724E-06
 75   1.028E-06   4.388E-06
 76   1.003E-06   4.061E-06
 77   9.767E-07   3.751E-06
 78   9.487E-07   3.462E-06
 79   9.201E-07   3.188E-06
 80   8.924E-07   2.912E-06
 81   4.848E-07   2.046E-06
 82   4.859E-07   2.105E-06
 83   1.620E-05   1.120E-04
 84   3.230E-06   7.339E-07
 85   1.299E-06   1.457E-06
 86   1.512E-06   3.649E-06
 87   1.825E-06   5.503E-06
 88   2.222E-06   6.986E-06
 89   2.298E-06   7.884E-06
 90   2.671E-06   8.398E-06
 91   3.078E-06   8.503E-06
 92   3.317E-06   8.510E-06
 93   3.266E-06   8.579E-06
 94   3.310E-06   8.498E-06
 95   3.346E-06   8.190E-06
 96   3.356E-06   7.547E-06
 97   3.194E-06   6.655E-06
 98   3.146E-06   5.927E-06
 99   2.965E-06   5.129E-06
100   2.777E-06   3.909E-06
101   2.689E-08   7.210E-08
 NST=    15

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.918E-03   1.902E-03
  3   1.570E-03   1.077E-04
  4   1.260E-03   9.283E-04
  5   9.993E-04   1.519E-03
  6   7.791E-04   8.359E-04
  7   5.891E-04   4.703E-04
  8   4.279E-04   6.187E-04
  9   2.973E-04   4.578E-04
 10   1.966E-04   3.967E-04
 11   1.238E-04   3.103E-04
 12   7.545E-05   2.665E-04
 13   4.630E-05   2.305E-04
 14   3.064E-05   2.028E-04
 15   2.324E-05   1.794E-04
 16   2.015E-05   1.565E-04
 17   1.886E-05   1.354E-04
 18   1.813E-05   1.128E-04
 19   1.749E-05   9.125E-05
 20   1.682E-05   7.151E-05
 21   1.609E-05   5.505E-05
 22   1.531E-05   4.285E-05
 23   1.456E-05   3.475E-05
 24   1.392E-05   3.008E-05
 25   1.332E-05   2.783E-05
 26   1.278E-05   2.695E-05
 27   1.229E-05   2.678E-05
 28   1.188E-05   2.692E-05
 29   1.155E-05   2.723E-05
 30   1.130E-05   2.761E-05
 31   1.113E-05   2.803E-05
 32   1.102E-05   2.840E-05
 33   1.097E-05   2.868E-05
 34   1.096E-05   2.875E-05
 35   1.096E-05   2.854E-05
 36   1.106E-05   2.809E-05
 37   1.108E-05   2.722E-05
 38   1.098E-05   2.600E-05
 39   1.081E-05   2.463E-05
 40   1.063E-05   2.333E-05
 41   1.052E-05   2.229E-05
 42   1.051E-05   2.153E-05
 43   1.057E-05   2.092E-05
 44   1.062E-05   2.038E-05
 45   1.061E-05   1.991E-05
 46   1.051E-05   1.962E-05
 47   1.032E-05   1.957E-05
 48   1.002E-05   1.972E-05
 49   9.597E-06   1.990E-05
 50   9.006E-06   1.963E-05
 51   8.258E-06   1.921E-05
 52   7.415E-06   1.856E-05
 53   6.583E-06   1.772E-05
 54   5.868E-06   1.676E-05
 55   5.332E-06   1.580E-05
 56   4.969E-06   1.495E-05
 57   4.714E-06   1.427E-05
 58   4.482E-06   1.372E-05
 59   4.208E-06   1.326E-05
 60   3.863E-06   1.282E-05
 61   3.455E-06   1.235E-05
 62   3.016E-06   1.182E-05
 63   2.587E-06   1.117E-05
 64   2.210E-06   1.041E-05
 65   1.909E-06   9.563E-06
 66   1.678E-06   8.664E-06
 67   1.494E-06   7.720E-06
 68   1.367E-06   6.985E-06
 69   1.276E-06   6.440E-06
 70   1.207E-06   6.031E-06
 71   1.154E-06   5.694E-06
 72   1.112E-06   5.378E-06
 73   1.079E-06   5.056E-06
 74   1.052E-06   4.722E-06
 75   1.028E-06   4.386E-06
 76   1.003E-06   4.058E-06
 77   9.767E-07   3.748E-06
 78   9.487E-07   3.459E-06
 79   9.201E-07   3.185E-06
 80   8.924E-07   2.914E-06
 81   4.820E-07   2.024E-06
 82   4.830E-07   2.088E-06
 83   1.618E-05   1.122E-04
 84   3.240E-06   7.829E-07
 85   1.299E-06   1.441E-06
 86   1.505E-06   3.630E-06
 87   1.820E-06   5.485E-06
 88   2.223E-06   6.971E-06
 89   2.296E-06   7.873E-06
 90   2.666E-06   8.390E-06
 91   3.071E-06   8.498E-06
 92   3.316E-06   8.504E-06
 93   3.264E-06   8.573E-06
 94   3.307E-06   8.494E-06
 95   3.340E-06   8.188E-06
 96   3.357E-06   7.548E-06
 97   3.191E-06   6.657E-06
 98   3.145E-06   5.928E-06
 99   2.964E-06   5.124E-06
100   2.777E-06   3.905E-06
101   2.689E-08   7.198E-08
 NST=    16

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   1.918E-03   2.442E-03
  3   1.570E-03   1.553E-03
  4   1.261E-03   3.413E-04
  5   9.994E-04   7.960E-04
  6   7.786E-04   4.896E-04
  7   5.891E-04   9.256E-04
  8   4.280E-04   5.908E-04
  9   2.973E-04   5.372E-04
 10   1.965E-04   3.787E-04
 11   1.238E-04   3.035E-04
 12   7.544E-05   2.621E-04
 13   4.630E-05   2.260E-04
 14   3.063E-05   1.961E-04
 15   2.324E-05   1.759E-04
 16   2.014E-05   1.542E-04
 17   1.885E-05   1.329E-04
 18   1.812E-05   1.115E-04
 19   1.749E-05   9.056E-05
 20   1.681E-05   7.125E-05
 21   1.608E-05   5.505E-05
 22   1.531E-05   4.295E-05
 23   1.455E-05   3.486E-05
 24   1.392E-05   3.018E-05
 25   1.332E-05   2.787E-05
 26   1.278E-05   2.697E-05
 27   1.229E-05   2.677E-05
 28   1.188E-05   2.691E-05
 29   1.155E-05   2.721E-05
 30   1.130E-05   2.759E-05
 31   1.113E-05   2.800E-05
 32   1.102E-05   2.838E-05
 33   1.097E-05   2.865E-05
 34   1.096E-05   2.873E-05
 35   1.096E-05   2.852E-05
 36   1.106E-05   2.807E-05
 37   1.108E-05   2.720E-05
 38   1.098E-05   2.598E-05
 39   1.081E-05   2.461E-05
 40   1.063E-05   2.332E-05
 41   1.052E-05   2.228E-05
 42   1.051E-05   2.152E-05
 43   1.057E-05   2.091E-05
 44   1.062E-05   2.037E-05
 45   1.061E-05   1.990E-05
 46   1.051E-05   1.961E-05
 47   1.032E-05   1.956E-05
 48   1.002E-05   1.971E-05
 49   9.597E-06   1.989E-05
 50   9.005E-06   1.963E-05
 51   8.258E-06   1.920E-05
 52   7.415E-06   1.856E-05
 53   6.582E-06   1.771E-05
 54   5.868E-06   1.676E-05
 55   5.332E-06   1.580E-05
 56   4.969E-06   1.495E-05
 57   4.713E-06   1.426E-05
 58   4.482E-06   1.372E-05
 59   4.208E-06   1.326E-05
 60   3.864E-06   1.282E-05
 61   3.456E-06   1.235E-05
 62   3.016E-06   1.181E-05
 63   2.588E-06   1.117E-05
