  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 10  9.7234E-06  1.6308E+03  2.3516E+08
 11  1.2088E-05  1.6308E+03  2.1824E+08
 12  1.5001E-05  1.6308E+03  2.0305E+08
 13  1.8582E-05  1.6308E+03  1.8927E+08
 14  2.2978E-05  1.6308E+03  1.7662E+08
 15  2.8363E-05  1.6308E+03  1.6492E+08
 16  3.4948E-05  1.6308E+03  1.5401E+08
 17  4.2985E-05  1.6308E+03  1.4377E+08
 18  5.2776E-05  1.6308E+03  1.3416E+08
 19  6.4683E-05  1.6308E+03  1.2512E+08
 20  7.9135E-05  1.6308E+03  1.1663E+08
 21  9.6643E-05  1.6308E+03  1.0870E+08
 22  1.1782E-04  1.6308E+03  1.0129E+08
 23  1.4337E-04  1.6308E+03  9.4402E+07
 24  1.7416E-04  1.6308E+03  8.8005E+07
 25  2.1118E-04  1.6308E+03  8.2070E+07
 26  2.5562E-04  1.6308E+03  7.6566E+07
 27  3.0887E-04  1.6308E+03  7.1464E+07
 28  3.7253E-04  1.6308E+03  6.6730E+07
 29  4.4853E-04  1.6308E+03  6.2338E+07
 30  5.3906E-04  1.6308E+03  5.8260E+07
 31  6.4672E-04  1.6308E+03  5.4474E+07
 32  7.7450E-04  1.6308E+03  5.0956E+07
 33  9.2587E-04  1.6308E+03  4.7687E+07
 34  1.1049E-03  1.6308E+03  4.4648E+07
 35  1.3161E-03  1.6308E+03  4.1820E+07
 36  1.5650E-03  1.6308E+03  3.9188E+07
 37  1.8576E-03  1.6308E+03  3.6736E+07
 38  2.2010E-03  1.6308E+03  3.4451E+07
 39  2.6032E-03  1.6308E+03  3.2319E+07
 40  3.0735E-03  1.6308E+03  3.0330E+07
 41  3.6223E-03  1.6308E+03  2.8472E+07
 42  4.2615E-03  1.6308E+03  2.6737E+07
 43  5.0046E-03  1.6308E+03  2.5115E+07
 44  5.8668E-03  1.6308E+03  2.3598E+07
 45  6.8653E-03  1.6308E+03  2.2179E+07
 46  8.0194E-03  1.6308E+03  2.0851E+07
 47  9.3510E-03  1.6308E+03  1.9608E+07
 48  1.0884E-02  1.6308E+03  1.8444E+07
 49  1.2646E-02  1.6308E+03  1.7353E+07
 50  1.4668E-02  1.6308E+03  1.6331E+07
 51  1.6982E-02  1.6308E+03  1.5373E+07
 52  1.9626E-02  1.6308E+03  1.4474E+07
 53  2.2642E-02  1.6308E+03  1.3630E+07
 54  2.6074E-02  1.6308E+03  1.2838E+07
 55  2.9974E-02  1.6308E+03  1.2094E+07
 56  3.4396E-02  1.6308E+03  1.1394E+07
 57  3.9399E-02  1.6308E+03  1.0736E+07
 58  4.5051E-02  1.6308E+03  1.0116E+07
 59  5.1421E-02  1.6308E+03  9.5329E+06
 60  5.8588E-02  1.6308E+03  8.9833E+06
 61  6.6635E-02  1.6308E+03  8.4654E+06
 62  7.5653E-02  1.6308E+03  7.9771E+06
 63  8.5738E-02  1.6358E+03  7.5243E+06
 64  9.6996E-02  2.1020E+03  7.7072E+06
 65  1.0954E-01  2.5752E+03  7.7687E+06
 66  1.2348E-01  3.0431E+03  7.7357E+06
 67  1.3895E-01  3.5106E+03  7.6394E+06
 68  1.5607E-01  3.9856E+03  7.5020E+06
 69  1.7500E-01  4.4750E+03  7.3373E+06
 70  1.9588E-01  4.9822E+03  7.1532E+06
 71  2.1885E-01  5.5057E+03  6.9533E+06
 72  2.4409E-01  6.0408E+03  6.7393E+06
 73  2.7175E-01  6.5812E+03  6.5126E+06
 74  3.0201E-01  7.1211E+03  6.2750E+06
 75  3.3504E-01  7.6563E+03  6.0286E+06
 76  3.7102E-01  8.1841E+03  5.7758E+06
 77  4.1014E-01  8.7019E+03  5.5185E+06
 78  4.5257E-01  9.2039E+03  5.2578E+06
 79  4.9851E-01  9.6756E+03  4.9935E+06
 80  5.4813E-01  1.0094E+04  4.7247E+06
 81  6.0163E-01  1.0531E+04  4.4669E+06
 82  6.5916E-01  3.9286E+04  6.4566E+06
 83  7.2092E-01  3.8346E+04  5.9893E+06
 84  7.8707E-01  3.8806E+04  5.6250E+06
 85  8.5775E-01  3.9841E+04  5.2790E+06
 86  9.3312E-01  4.1563E+04  4.9497E+06
 87  1.0133E+00  4.3795E+04  4.6235E+06
 88  1.0984E+00  4.6421E+04  4.2923E+06
 89  1.1886E+00  4.9196E+04  3.9473E+06
 90  1.2838E+00  5.1908E+04  3.5849E+06
 91  1.3843E+00  5.4758E+04  3.2133E+06
 92  1.4899E+00  5.7793E+04  2.8353E+06
 93  1.6008E+00  6.0835E+04  2.4513E+06
 94  1.7168E+00  6.3735E+04  2.0640E+06
 95  1.8380E+00  6.6329E+04  1.6780E+06
 96  1.9643E+00  6.8439E+04  1.2996E+06
 97  2.0954E+00  7.0325E+04  1.2481E+06
 98  2.2314E+00  7.1963E+04  1.2534E+06
 99  2.3720E+00  7.3014E+04  1.2544E+06
100  2.5169E+00  7.6930E+04  3.3301E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.6316E+03  5.7634E+08
  2  1.5986E-06  1.6316E+03  5.1411E+08
  3  2.0159E-06  1.6316E+03  4.5492E+08
  4  2.5375E-06  1.6316E+03  4.0339E+08
  5  3.1884E-06  1.6316E+03  3.6178E+08
  6  3.9991E-06  1.6316E+03  3.2859E+08
  7  5.0071E-06  1.6316E+03  3.0050E+08
  8  6.2580E-06  1.6316E+03  2.7577E+08
  9  7.8076E-06  1.6316E+03  2.5404E+08
 10  9.7234E-06  1.6316E+03  2.3492E+08
 11  1.2088E-05  1.6316E+03  2.1797E+08
 12  1.5001E-05  1.6316E+03  2.0279E+08
 13  1.8582E-05  1.6316E+03  1.8902E+08
 14  2.2978E-05  1.6316E+03  1.7641E+08
 15  2.8363E-05  1.6316E+03  1.6474E+08
 16  3.4948E-05  1.6316E+03  1.5385E+08
 17  4.2985E-05  1.6316E+03  1.4365E+08
 18  5.2776E-05  1.6316E+03  1.3407E+08
 19  6.4683E-05  1.6316E+03  1.2506E+08
 20  7.9135E-05  1.6316E+03  1.1659E+08
 21  9.6643E-05  1.6316E+03  1.0867E+08
 22  1.1782E-04  1.6316E+03  1.0128E+08
 23  1.4337E-04  1.6316E+03  9.4394E+07
 24  1.7416E-04  1.6316E+03  8.8000E+07
 25  2.1118E-04  1.6316E+03  8.2066E+07
 26  2.5562E-04  1.6316E+03  7.6563E+07
 27  3.0887E-04  1.6316E+03  7.1460E+07
 28  3.7253E-04  1.6316E+03  6.6726E+07
 29  4.4853E-04  1.6316E+03  6.2334E+07
 30  5.3906E-04  1.6316E+03  5.8257E+07
 31  6.4672E-04  1.6316E+03  5.4470E+07
 32  7.7450E-04  1.6316E+03  5.0953E+07
 33  9.2587E-04  1.6316E+03  4.7684E+07
 34  1.1049E-03  1.6316E+03  4.4645E+07
 35  1.3161E-03  1.6316E+03  4.1817E+07
 36  1.5650E-03  1.6316E+03  3.9185E+07
 37  1.8576E-03  1.6316E+03  3.6734E+07
 38  2.2010E-03  1.6316E+03  3.4449E+07
 39  2.6032E-03  1.6316E+03  3.2317E+07
 40  3.0735E-03  1.6316E+03  3.0327E+07
 41  3.6223E-03  1.6316E+03  2.8470E+07
 42  4.2615E-03  1.6316E+03  2.6735E+07
 43  5.0046E-03  1.6316E+03  2.5113E+07
 44  5.8668E-03  1.6316E+03  2.3596E+07
 45  6.8653E-03  1.6316E+03  2.2177E+07
 46  8.0194E-03  1.6316E+03  2.0849E+07
 47  9.3510E-03  1.6316E+03  1.9606E+07
 48  1.0884E-02  1.6316E+03  1.8442E+07
 49  1.2646E-02  1.6316E+03  1.7351E+07
 50  1.4668E-02  1.6316E+03  1.6329E+07
 51  1.6982E-02  1.6316E+03  1.5371E+07
 52  1.9626E-02  1.6316E+03  1.4472E+07
 53  2.2642E-02  1.6316E+03  1.3628E+07
 54  2.6074E-02  1.6316E+03  1.2836E+07
 55  2.9974E-02  1.6316E+03  1.2092E+07
 56  3.4396E-02  1.6316E+03  1.1392E+07
 57  3.9399E-02  1.6316E+03  1.0734E+07
 58  4.5051E-02  1.6316E+03  1.0114E+07
 59  5.1421E-02  1.6316E+03  9.5309E+06
 60  5.8588E-02  1.6316E+03  8.9813E+06
 61  6.6635E-02  1.6316E+03  8.4634E+06
 62  7.5653E-02  1.8571E+03  8.3269E+06
 63  8.5738E-02  2.3050E+03  8.4319E+06
 64  9.6996E-02  2.7711E+03  8.4471E+06
 65  1.0954E-01  3.2441E+03  8.3864E+06
 66  1.2348E-01  3.7121E+03  8.2614E+06
 67  1.3895E-01  4.1797E+03  8.0928E+06
 68  1.5607E-01  4.6549E+03  7.8962E+06
 69  1.7500E-01  5.1447E+03  7.6821E+06
 70  1.9588E-01  5.6523E+03  7.4562E+06
 71  2.1885E-01  6.1764E+03  7.2204E+06
 72  2.4409E-01  6.7123E+03  6.9757E+06
 73  2.7175E-01  7.2536E+03  6.7226E+06
 74  3.0201E-01  7.7948E+03  6.4622E+06
 75  3.3504E-01  8.3316E+03  6.1961E+06
 76  3.7102E-01  8.8615E+03  5.9260E+06
 77  4.1014E-01  9.3819E+03  5.6537E+06
 78  4.5257E-01  9.8874E+03  5.3798E+06
 79  4.9851E-01  1.0367E+04  5.1046E+06
 80  5.4813E-01  1.0792E+04  4.8262E+06
 81  6.0163E-01  1.1251E+04  4.5607E+06
 82  6.5916E-01  3.9940E+04  6.4803E+06
 83  7.2092E-01  3.8877E+04  6.0035E+06
 84  7.8707E-01  3.9284E+04  5.6359E+06
 85  8.5775E-01  4.0265E+04  5.2865E+06
 86  9.3312E-01  4.1930E+04  4.9540E+06
 87  1.0133E+00  4.4130E+04  4.6259E+06
 88  1.0984E+00  4.6732E+04  4.2933E+06
 89  1.1886E+00  4.9504E+04  3.9477E+06
 90  1.2838E+00  5.2213E+04  3.5850E+06
 91  1.3843E+00  5.5034E+04  3.2125E+06
 92  1.4899E+00  5.8051E+04  2.8342E+06
 93  1.6008E+00  6.1089E+04  2.4501E+06
 94  1.7168E+00  6.4001E+04  2.0630E+06
 95  1.8380E+00  6.6613E+04  1.6773E+06
 96  1.9643E+00  6.8756E+04  1.2993E+06
 97  2.0954E+00  7.0648E+04  1.2477E+06
 98  2.2314E+00  7.2270E+04  1.2529E+06
 99  2.3720E+00  7.3242E+04  1.2534E+06
100  2.5169E+00  7.7053E+04  3.3297E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.6322E+03  5.7231E+08
  2  1.5986E-06  1.6322E+03  5.1226E+08
  3  2.0159E-06  1.6322E+03  4.5482E+08
  4  2.5375E-06  1.6322E+03  4.0397E+08
  5  3.1884E-06  1.6322E+03  3.6262E+08
  6  3.9991E-06  1.6322E+03  3.2870E+08
  7  5.0071E-06  1.6322E+03  3.0008E+08
  8  6.2580E-06  1.6322E+03  2.7532E+08
  9  7.8076E-06  1.6322E+03  2.5358E+08
 10  9.7234E-06  1.6322E+03  2.3446E+08
 11  1.2088E-05  1.6322E+03  2.1752E+08
 12  1.5001E-05  1.6322E+03  2.0236E+08
 13  1.8582E-05  1.6322E+03  1.8864E+08
 14  2.2978E-05  1.6322E+03  1.7607E+08
 15  2.8363E-05  1.6322E+03  1.6446E+08
 16  3.4948E-05  1.6322E+03  1.5363E+08
 17  4.2985E-05  1.6322E+03  1.4349E+08
 18  5.2776E-05  1.6322E+03  1.3395E+08
 19  6.4683E-05  1.6322E+03  1.2497E+08
 20  7.9135E-05  1.6322E+03  1.1654E+08
 21  9.6643E-05  1.6322E+03  1.0864E+08
 22  1.1782E-04  1.6322E+03  1.0125E+08
 23  1.4337E-04  1.6322E+03  9.4379E+07
 24  1.7416E-04  1.6322E+03  8.7988E+07
 25  2.1118E-04  1.6322E+03  8.2056E+07
 26  2.5562E-04  1.6322E+03  7.6554E+07
 27  3.0887E-04  1.6322E+03  7.1451E+07
 28  3.7253E-04  1.6322E+03  6.6718E+07
 29  4.4853E-04  1.6322E+03  6.2326E+07
 30  5.3906E-04  1.6322E+03  5.8249E+07
 31  6.4672E-04  1.6322E+03  5.4463E+07
 32  7.7450E-04  1.6322E+03  5.0946E+07
 33  9.2587E-04  1.6322E+03  4.7677E+07
 34  1.1049E-03  1.6322E+03  4.4638E+07
 35  1.3161E-03  1.6322E+03  4.1811E+07
 36  1.5650E-03  1.6322E+03  3.9180E+07
 37  1.8576E-03  1.6322E+03  3.6729E+07
 38  2.2010E-03  1.6322E+03  3.4444E+07
 39  2.6032E-03  1.6322E+03  3.2313E+07
 40  3.0735E-03  1.6322E+03  3.0324E+07
 41  3.6223E-03  1.6322E+03  2.8467E+07
 42  4.2615E-03  1.6322E+03  2.6732E+07
 43  5.0046E-03  1.6322E+03  2.5110E+07
 44  5.8668E-03  1.6322E+03  2.3594E+07
 45  6.8653E-03  1.6322E+03  2.2175E+07
 46  8.0194E-03  1.6322E+03  2.0847E+07
 47  9.3510E-03  1.6322E+03  1.9604E+07
 48  1.0884E-02  1.6322E+03  1.8439E+07
 49  1.2646E-02  1.6322E+03  1.7349E+07
 50  1.4668E-02  1.6322E+03  1.6327E+07
 51  1.6982E-02  1.6322E+03  1.5368E+07
 52  1.9626E-02  1.6322E+03  1.4470E+07
 53  2.2642E-02  1.6322E+03  1.3626E+07
 54  2.6074E-02  1.6322E+03  1.2834E+07
 55  2.9974E-02  1.6322E+03  1.2090E+07
 56  3.4396E-02  1.6322E+03  1.1390E+07
 57  3.9399E-02  1.6322E+03  1.0732E+07
 58  4.5051E-02  1.6322E+03  1.0112E+07
 59  5.1421E-02  1.6322E+03  9.5290E+06
 60  5.8588E-02  1.6322E+03  8.9795E+06
 61  6.6635E-02  1.9571E+03  8.9895E+06
 62  7.5653E-02  2.3771E+03  9.0379E+06
 63  8.5738E-02  2.8250E+03  9.0202E+06
 64  9.6996E-02  3.2910E+03  8.9420E+06
 65  1.0954E-01  3.7641E+03  8.8091E+06
 66  1.2348E-01  4.2320E+03  8.6270E+06
 67  1.3895E-01  4.6998E+03  8.4119E+06
 68  1.5607E-01  5.1752E+03  8.1766E+06
 69  1.7500E-01  5.6653E+03  7.9295E+06
 70  1.9588E-01  6.1733E+03  7.6750E+06
 71  2.1885E-01  6.6979E+03  7.4145E+06
 72  2.4409E-01  7.2344E+03  7.1484E+06
 73  2.7175E-01  7.7765E+03  6.8767E+06
 74  3.0201E-01  8.3187E+03  6.6001E+06
 75  3.3504E-01  8.8567E+03  6.3198E+06
 76  3.7102E-01  9.3881E+03  6.0373E+06
 77  4.1014E-01  9.9104E+03  5.7540E+06
 78  4.5257E-01  1.0419E+04  5.4706E+06
 79  4.9851E-01  1.0905E+04  5.1876E+06
 80  5.4813E-01  1.1336E+04  4.9021E+06
 81  6.0163E-01  1.1811E+04  4.6307E+06
 82  6.5916E-01  4.0448E+04  6.4985E+06
 83  7.2092E-01  3.9292E+04  6.0146E+06
 84  7.8707E-01  3.9658E+04  5.6444E+06
 85  8.5775E-01  4.0600E+04  5.2925E+06
 86  9.3312E-01  4.2224E+04  4.9577E+06
 87  1.0133E+00  4.4396E+04  4.6279E+06
 88  1.0984E+00  4.6980E+04  4.2943E+06
 89  1.1886E+00  4.9744E+04  3.9481E+06
 90  1.2838E+00  5.2448E+04  3.5850E+06
 91  1.3843E+00  5.5251E+04  3.2120E+06
 92  1.4899E+00  5.8253E+04  2.8334E+06
 93  1.6008E+00  6.1287E+04  2.4493E+06
 94  1.7168E+00  6.4213E+04  2.0624E+06
 95  1.8380E+00  6.6835E+04  1.6768E+06
 96  1.9643E+00  6.9006E+04  1.2990E+06
 97  2.0954E+00  7.0904E+04  1.2474E+06
 98  2.2314E+00  7.2515E+04  1.2525E+06
 99  2.3720E+00  7.3447E+04  1.2529E+06
100  2.5169E+00  7.7175E+04  3.3288E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.6327E+03  5.6981E+08
  2  1.5986E-06  1.6327E+03  5.1681E+08
  3  2.0159E-06  1.6327E+03  4.5999E+08
  4  2.5375E-06  1.6327E+03  4.0603E+08
  5  3.1884E-06  1.6327E+03  3.6289E+08
  6  3.9991E-06  1.6327E+03  3.2876E+08
  7  5.0071E-06  1.6327E+03  2.9997E+08
  8  6.2580E-06  1.6327E+03  2.7502E+08
  9  7.8076E-06  1.6327E+03  2.5318E+08
 10  9.7234E-06  1.6327E+03  2.3403E+08
 11  1.2088E-05  1.6327E+03  2.1708E+08
 12  1.5001E-05  1.6327E+03  2.0195E+08
 13  1.8582E-05  1.6327E+03  1.8827E+08
 14  2.2978E-05  1.6327E+03  1.7575E+08
 15  2.8363E-05  1.6327E+03  1.6419E+08
 16  3.4948E-05  1.6327E+03  1.5341E+08
 17  4.2985E-05  1.6327E+03  1.4332E+08
 18  5.2776E-05  1.6327E+03  1.3382E+08
 19  6.4683E-05  1.6327E+03  1.2488E+08
 20  7.9135E-05  1.6327E+03  1.1648E+08
 21  9.6643E-05  1.6327E+03  1.0860E+08
 22  1.1782E-04  1.6327E+03  1.0123E+08
 23  1.4337E-04  1.6327E+03  9.4362E+07
 24  1.7416E-04  1.6327E+03  8.7976E+07
 25  2.1118E-04  1.6327E+03  8.2046E+07
 26  2.5562E-04  1.6327E+03  7.6545E+07
 27  3.0887E-04  1.6327E+03  7.1443E+07
 28  3.7253E-04  1.6327E+03  6.6709E+07
 29  4.4853E-04  1.6327E+03  6.2317E+07
 30  5.3906E-04  1.6327E+03  5.8241E+07
 31  6.4672E-04  1.6327E+03  5.4455E+07
 32  7.7450E-04  1.6327E+03  5.0938E+07
 33  9.2587E-04  1.6327E+03  4.7670E+07
 34  1.1049E-03  1.6327E+03  4.4632E+07
 35  1.3161E-03  1.6327E+03  4.1806E+07
 36  1.5650E-03  1.6327E+03  3.9175E+07
 37  1.8576E-03  1.6327E+03  3.6725E+07
 38  2.2010E-03  1.6327E+03  3.4441E+07
 39  2.6032E-03  1.6327E+03  3.2310E+07
 40  3.0735E-03  1.6327E+03  3.0321E+07
 41  3.6223E-03  1.6327E+03  2.8464E+07
 42  4.2615E-03  1.6327E+03  2.6729E+07
 43  5.0046E-03  1.6327E+03  2.5108E+07
 44  5.8668E-03  1.6327E+03  2.3592E+07
 45  6.8653E-03  1.6327E+03  2.2173E+07
 46  8.0194E-03  1.6327E+03  2.0845E+07
 47  9.3510E-03  1.6327E+03  1.9602E+07
 48  1.0884E-02  1.6327E+03  1.8437E+07
 49  1.2646E-02  1.6327E+03  1.7347E+07
 50  1.4668E-02  1.6327E+03  1.6325E+07
 51  1.6982E-02  1.6327E+03  1.5367E+07
 52  1.9626E-02  1.6327E+03  1.4468E+07
 53  2.2642E-02  1.6327E+03  1.3624E+07
 54  2.6074E-02  1.6327E+03  1.2833E+07
 55  2.9974E-02  1.6327E+03  1.2088E+07
 56  3.4396E-02  1.6327E+03  1.1389E+07
 57  3.9399E-02  1.6327E+03  1.0730E+07
 58  4.5051E-02  1.6327E+03  1.0111E+07
 59  5.1421E-02  1.6327E+03  9.5276E+06
 60  5.8588E-02  1.9743E+03  9.5650E+06
 61  6.6635E-02  2.3590E+03  9.5642E+06
 62  7.5653E-02  2.7788E+03  9.5180E+06
 63  8.5738E-02  3.2264E+03  9.4260E+06
 64  9.6996E-02  3.6923E+03  9.2890E+06
 65  1.0954E-01  4.1653E+03  9.1088E+06
 66  1.2348E-01  4.6333E+03  8.8887E+06
 67  1.3895E-01  5.1011E+03  8.6420E+06
 68  1.5607E-01  5.5766E+03  8.3799E+06
 69  1.7500E-01  6.0668E+03  8.1097E+06
 70  1.9588E-01  6.5750E+03  7.8351E+06
 71  2.1885E-01  7.1000E+03  7.5571E+06
 72  2.4409E-01  7.6369E+03  7.2757E+06
 73  2.7175E-01  8.1795E+03  6.9905E+06
 74  3.0201E-01  8.7224E+03  6.7022E+06
 75  3.3504E-01  9.2613E+03  6.4116E+06
 76  3.7102E-01  9.7938E+03  6.1200E+06
 77  4.1014E-01  1.0318E+04  5.8287E+06
 78  4.5257E-01  1.0829E+04  5.5385E+06
 79  4.9851E-01  1.1320E+04  5.2497E+06
 80  5.4813E-01  1.1755E+04  4.9588E+06
 81  6.0163E-01  1.2243E+04  4.6831E+06
 82  6.5916E-01  4.0842E+04  6.5126E+06
 83  7.2092E-01  3.9614E+04  6.0234E+06
 84  7.8707E-01  3.9951E+04  5.6512E+06
 85  8.5775E-01  4.0864E+04  5.2976E+06
 86  9.3312E-01  4.2456E+04  4.9608E+06
 87  1.0133E+00  4.4597E+04  4.6294E+06
 88  1.0984E+00  4.7171E+04  4.2951E+06
 89  1.1886E+00  4.9924E+04  3.9484E+06
 90  1.2838E+00  5.2630E+04  3.5851E+06
 91  1.3843E+00  5.5421E+04  3.2117E+06
 92  1.4899E+00  5.8412E+04  2.8329E+06
 93  1.6008E+00  6.1445E+04  2.4487E+06
 94  1.7168E+00  6.4375E+04  2.0619E+06
 95  1.8380E+00  6.7010E+04  1.6765E+06
 96  1.9643E+00  6.9204E+04  1.2989E+06
 97  2.0954E+00  7.1108E+04  1.2473E+06
 98  2.2314E+00  7.2707E+04  1.2524E+06
 99  2.3720E+00  7.3613E+04  1.2525E+06
100  2.5169E+00  7.7281E+04  3.3298E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.6332E+03  5.6811E+08
  2  1.5986E-06  1.6332E+03  5.1243E+08
  3  2.0159E-06  1.6332E+03  4.5754E+08
  4  2.5375E-06  1.6332E+03  4.0642E+08
  5  3.1884E-06  1.6332E+03  3.6326E+08
  6  3.9991E-06  1.6332E+03  3.2873E+08
  7  5.0071E-06  1.6332E+03  2.9996E+08
  8  6.2580E-06  1.6332E+03  2.7497E+08
  9  7.8076E-06  1.6332E+03  2.5311E+08
 10  9.7234E-06  1.6332E+03  2.3392E+08
 11  1.2088E-05  1.6332E+03  2.1695E+08
 12  1.5001E-05  1.6332E+03  2.0180E+08
 13  1.8582E-05  1.6332E+03  1.8811E+08
 14  2.2978E-05  1.6332E+03  1.7561E+08
 15  2.8363E-05  1.6332E+03  1.6406E+08
 16  3.4948E-05  1.6332E+03  1.5330E+08
 17  4.2985E-05  1.6332E+03  1.4322E+08
 18  5.2776E-05  1.6332E+03  1.3374E+08
 19  6.4683E-05  1.6332E+03  1.2483E+08
 20  7.9135E-05  1.6332E+03  1.1644E+08
 21  9.6643E-05  1.6332E+03  1.0857E+08
 22  1.1782E-04  1.6332E+03  1.0121E+08
 23  1.4337E-04  1.6332E+03  9.4351E+07
 24  1.7416E-04  1.6332E+03  8.7969E+07
 25  2.1118E-04  1.6332E+03  8.2042E+07
 26  2.5562E-04  1.6332E+03  7.6541E+07
 27  3.0887E-04  1.6332E+03  7.1439E+07
 28  3.7253E-04  1.6332E+03  6.6706E+07
 29  4.4853E-04  1.6332E+03  6.2314E+07
 30  5.3906E-04  1.6332E+03  5.8238E+07
 31  6.4672E-04  1.6332E+03  5.4452E+07
 32  7.7450E-04  1.6332E+03  5.0936E+07
 33  9.2587E-04  1.6332E+03  4.7668E+07
 34  1.1049E-03  1.6332E+03  4.4630E+07
 35  1.3161E-03  1.6332E+03  4.1804E+07
 36  1.5650E-03  1.6332E+03  3.9173E+07
 37  1.8576E-03  1.6332E+03  3.6723E+07
 38  2.2010E-03  1.6332E+03  3.4439E+07
 39  2.6032E-03  1.6332E+03  3.2308E+07
 40  3.0735E-03  1.6332E+03  3.0320E+07
 41  3.6223E-03  1.6332E+03  2.8463E+07
 42  4.2615E-03  1.6332E+03  2.6728E+07
 43  5.0046E-03  1.6332E+03  2.5107E+07
 44  5.8668E-03  1.6332E+03  2.3591E+07
 45  6.8653E-03  1.6332E+03  2.2172E+07
 46  8.0194E-03  1.6332E+03  2.0844E+07
 47  9.3510E-03  1.6332E+03  1.9601E+07
 48  1.0884E-02  1.6332E+03  1.8436E+07
 49  1.2646E-02  1.6332E+03  1.7346E+07
 50  1.4668E-02  1.6332E+03  1.6324E+07
 51  1.6982E-02  1.6332E+03  1.5366E+07
 52  1.9626E-02  1.6332E+03  1.4467E+07
 53  2.2642E-02  1.6332E+03  1.3624E+07
 54  2.6074E-02  1.6332E+03  1.2832E+07
 55  2.9974E-02  1.6332E+03  1.2087E+07
 56  3.4396E-02  1.6332E+03  1.1388E+07
 57  3.9399E-02  1.6332E+03  1.0730E+07
 58  4.5051E-02  1.6359E+03  1.0116E+07
 59  5.1421E-02  1.9463E+03  1.0100E+07
 60  5.8588E-02  2.2928E+03  1.0052E+07
 61  6.6635E-02  2.6772E+03  9.9744E+06
 62  7.5653E-02  3.0968E+03  9.8662E+06
 63  8.5738E-02  3.5443E+03  9.7240E+06
 64  9.6996E-02  4.0100E+03  9.5461E+06
 65  1.0954E-01  4.4829E+03  9.3327E+06
 66  1.2348E-01  4.9507E+03  9.0852E+06
 67  1.3895E-01  5.4185E+03  8.8157E+06
 68  1.5607E-01  5.8940E+03  8.5340E+06
 69  1.7500E-01  6.3843E+03  8.2468E+06
 70  1.9588E-01  6.8927E+03  7.9573E+06
 71  2.1885E-01  7.4179E+03  7.6662E+06
 72  2.4409E-01  7.9551E+03  7.3732E+06
 73  2.7175E-01  8.4981E+03  7.0780E+06
 74  3.0201E-01  9.0415E+03  6.7808E+06
 75  3.3504E-01  9.5810E+03  6.4823E+06
 76  3.7102E-01  1.0114E+04  6.1838E+06
 77  4.1014E-01  1.0639E+04  5.8864E+06
 78  4.5257E-01  1.1152E+04  5.5909E+06
 79  4.9851E-01  1.1648E+04  5.2978E+06
 80  5.4813E-01  1.2086E+04  5.0028E+06
 81  6.0163E-01  1.2583E+04  4.7235E+06
 82  6.5916E-01  4.1147E+04  6.5235E+06
 83  7.2092E-01  3.9867E+04  6.0303E+06
 84  7.8707E-01  4.0181E+04  5.6566E+06
 85  8.5775E-01  4.1073E+04  5.3016E+06
 86  9.3312E-01  4.2639E+04  4.9633E+06
 87  1.0133E+00  4.4757E+04  4.6308E+06
 88  1.0984E+00  4.7326E+04  4.2960E+06
 89  1.1886E+00  5.0069E+04  3.9488E+06
 90  1.2838E+00  5.2775E+04  3.5854E+06
 91  1.3843E+00  5.5557E+04  3.2116E+06
 92  1.4899E+00  5.8538E+04  2.8326E+06
 93  1.6008E+00  6.1568E+04  2.4483E+06
 94  1.7168E+00  6.4499E+04  2.0616E+06
 95  1.8380E+00  6.7142E+04  1.6763E+06
 96  1.9643E+00  6.9355E+04  1.2988E+06
 97  2.0954E+00  7.1263E+04  1.2472E+06
 98  2.2314E+00  7.2850E+04  1.2522E+06
 99  2.3720E+00  7.3738E+04  1.2523E+06
100  2.5169E+00  7.7360E+04  3.3289E+10
 
  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1  1.2655E-06  1.6335E+03  5.6256E+08
  2  1.5986E-06  1.6335E+03  5.0518E+08
  3  2.0159E-06  1.6335E+03  4.5112E+08
  4  2.5375E-06  1.6335E+03  4.0356E+08
  5  3.1884E-06  1.6335E+03  3.6328E+08
  6  3.9991E-06  1.6335E+03  3.2908E+08
  7  5.0071E-06  1.6335E+03  2.9991E+08
  8  6.2580E-06  1.6335E+03  2.7478E+08
  9  7.8076E-06  1.6335E+03  2.5286E+08
 10  9.7234E-06  1.6335E+03  2.3365E+08
 11  1.2088E-05  1.6335E+03  2.1668E+08
 12  1.5001E-05  1.6335E+03  2.0153E+08
 13  1.8582E-05  1.6335E+03  1.8786E+08
 14  2.2978E-05  1.6335E+03  1.7538E+08
 15  2.8363E-05  1.6335E+03  1.6386E+08
 16  3.4948E-05  1.6335E+03  1.5313E+08
 17  4.2985E-05  1.6335E+03  1.4309E+08
 18  5.2776E-05  1.6335E+03  1.3364E+08
 19  6.4683E-05  1.6335E+03  1.2475E+08
 20  7.9135E-05  1.6335E+03  1.1639E+08
